timestamp,open,close
1787720037,96.88,96.88
1787720132,96.77,96.77
1787720163,96.77,96.77
1787731079,96.95,96.95
1787738954,96.08,96.08
1787745081,96.84,96.84
1787754644,96.25,96.25
1787879098,109.28,109.28
1787954017,103.37,103.37
1787955760,103.61,103.61
1787959346,104.13,104.13
1787962983,104.35,104.35
1787966568,103.94,103.94
1787970175,103.96,103.96
1787973785,103.98,103.98
1787977366,103.57,103.57
1787980976,104.14,104.14
1787984573,103.47,103.47
1787988170,103.83,103.83
1787991778,103.39,103.39
1787995381,103.35,103.35
1787998979,103.53,103.53
1788002583,103.57,103.57
1788006179,103.96,103.96
1788009768,103.69,103.69
1788013362,104.13,104.13
1788016962,105.05,105.05
1788020577,105.11,105.11
1788024162,104.96,104.96
1788027776,104.89,104.89
1788031373,105.68,105.68
1788034980,105.32,105.32
1788038561,105.33,105.33
1788042170,104.99,104.99
1788045764,105.72,105.72
1788049382,105.47,105.47
1788052969,105.23,105.23
1788056567,105.35,105.35
1788060171,105.14,105.14
1788063764,104.99,104.99
1788067362,105.02,105.02
1788070977,104.97,104.97
1788074568,105.21,105.21
1788078164,105.02,105.02
1788081799,104.88,104.88
1788085387,104.66,104.66
1788088971,105.16,105.16
1788092565,105.4,105.4
1788096161,106.14,106.14
1788099763,106.76,106.76
1788103396,106.31,106.31
1788106970,106.83,106.83
1788110573,106.19,106.19
1788114166,106.44,106.44
1788117765,106.47,106.47
1788121368,105.72,105.72
1788124973,104.08,104.08
1788128570,103.86,103.86
1788132159,103.32,103.32
1788135771,102.14,102.14
1788139384,101.88,101.88
1788142966,101.98,101.98
1788146578,101.56,101.56
1788150180,101.25,101.25
1788153775,102.48,102.48
1788157385,102.61,102.61
1788160970,102.93,102.93
1788164578,102.55,102.55
1788168183,103.15,103.15
1788171793,102.86,102.86
1788175382,104.04,104.04
1788178977,103.5,103.5
1788182573,102.67,102.67
1788186166,102.6,102.6
1788189777,102.88,102.88
1788193365,102.66,102.66
1788196976,102.87,102.87
1788200575,104.01,104.01
1788204178,104.04,104.04
1788207787,104.23,104.23
1788211366,103.38,103.38
1788214972,103.31,103.31
1788218569,103.1,103.1
1788223107,103.33,103.33
1788225925,103.1,103.1
1788229648,103.15,103.15
1788233340,103.36,103.36
1788236869,103.91,103.91
1788240443,103.78,103.78
1788244480,103.99,103.99
1788247711,103.42,103.42
1788251422,102.21,102.21
1788254963,102.18,102.18
1788258673,102.29,102.29
1788262062,102.17,102.17
1788266029,102.16,102.16
1788269327,101.81,101.81
1788272939,102.34,102.34
1788277711,102.16,102.16
1788280996,101.03,101.03
1788283608,101.05,101.05
1788287500,99.42,99.42
1788290733,100.03,100.03
1788294429,100.03,100.03
1788298031,99.54,99.54
1788301570,99.57,99.57
1788305009,99.76,99.76
1788309380,99.83,99.83
1788312305,99.72,99.72
1788316828,99.6,99.6
1788319668,100.57,100.57
1788323378,99.91,99.91
1788327050,100.22,100.22
1788331033,99.79,99.79
1788334078,99.99,99.99
1788337785,99.74,99.74
1788341302,99.02,99.02
1788344942,98.3,98.3
1788348454,97.53,97.53
1788352500,98.12,98.12
1788355766,98.15,98.15
1788359324,99.29,99.29
1788363157,98.97,98.97
1788366590,99.63,99.63
1788369980,98.41,98.41
1788373890,99.41,99.41
1788377125,99.41,99.41
1788380916,99.8,99.8
1788384398,99.64,99.64
1788388083,99.25,99.25
1788391530,99.79,99.79
1788395881,99.57,99.57
1788399052,100.32,100.32
1788412199,100.72,100.72
1788414370,100.33,100.33
1788417279,100.78,100.78
1788420533,100.77,100.77
1788424249,100.73,100.73
1788427746,100.43,100.43
1788431330,100.15,100.15
1788434795,100.55,100.55
1788438880,101.18,101.18
1788442150,101.43,101.43
1788445790,102.54,102.54
1788449463,104.36,104.36
1788452934,104.09,104.09
1788456461,104.8,104.8
1788460315,104.76,104.76
1788463478,105.51,105.51
1788467228,105.14,105.14
1788470808,105.1,105.1
1788474384,104.95,104.95
1788477871,103.96,103.96
1788482111,103.88,103.88
1788485089,103.76,103.76
1788488851,103.4,103.4
1788492464,103.93,103.93
1788496093,104.11,104.11
1788499622,104.01,104.01
1788503586,103.46,103.46
1788506880,103.74,103.74
1788510595,103.85,103.85
1788514120,104.02,104.02
1788517720,103.67,103.67
1788521246,104.16,104.16
1788525246,101.57,101.57
1788528509,101.5,101.5
1788532072,101.3,101.3
1788535712,101.47,101.47
1788539326,101.68,101.68
1788542728,101.65,101.65
1788546533,101.4,101.4
1788549816,101.87,101.87
1788553623,101.66,101.66
1788557180,101.83,101.83
1788560758,101.77,101.77
1788564263,101.91,101.91
1788568599,101.81,101.81
1788571516,101.88,101.88
1788575225,101.9,101.9
1788578825,101.92,101.92
1788582412,101.91,101.91
1788585955,101.69,101.69
1788589863,102.01,102.01
1788593121,102.44,102.44
1788596826,102.22,102.22
1788600357,102.63,102.63
1788603938,102.42,102.42
1788607525,102.32,102.32
1788611449,102.37,102.37
1788614722,103.29,103.29
1788618334,102.75,102.75
1788621969,102.76,102.76
1788625609,103.04,103.04
1788629082,103.8,103.8
1788632900,104.0,104.0
1788636288,103.74,103.74
1788639987,103.28,103.28
1788643518,103.66,103.66
1788647125,103.5,103.5
1788650684,103.17,103.17
1788655213,103.43,103.43
1788657928,103.51,103.51
1788661642,104.06,104.06
1788665260,104.71,104.71
1788668863,105.94,105.94
1788672362,105.94,105.94
1788676317,105.77,105.77
1788679593,105.15,105.15
1788683322,105.24,105.24
1788686849,106.22,106.22
1788690435,106.8,106.8
1788693956,106.65,106.65
1788697902,106.61,106.61
1788701185,106.18,106.18
1788704789,105.9,105.9
1788708410,105.74,105.74
1788712060,105.84,105.84
1788715513,106.2,106.2
1788719310,106.34,106.34
1788722697,105.58,105.58
1788726435,105.63,105.63
1788729945,106.06,106.06
1788733591,105.23,105.23
1788737141,106.39,106.39
1788741583,106.08,106.08
1788744420,105.37,105.37
1788748138,105.66,105.66
1788751786,105.22,105.22
1788755372,105.22,105.22
1788758883,105.72,105.72
1788763036,105.07,105.07
1788766256,104.94,104.94
1788769915,104.6,104.6
1788773499,105.12,105.12
1788776968,104.96,104.96
1788780578,104.85,104.85
1788784551,105.3,105.3
1788787844,105.66,105.66
1788791359,104.41,104.41
1788794925,104.31,104.31
1788798526,103.5,103.5
1788802062,104.0,104.0
1788805898,103.72,103.72
1788809199,104.12,104.12
1788812907,103.94,103.94
1788816476,104.02,104.02
1788820021,103.88,103.88
1788823560,103.6,103.6
1788827959,103.83,103.83
1788830874,104.27,104.27
1788834531,104.34,104.34
1788838165,102.91,102.91
1788841766,103.17,103.17
1788845310,103.41,103.41
1788849279,102.64,102.64
1788852595,102.94,102.94
1788856279,102.84,102.84
1788859793,103.24,103.24
1788863404,103.76,103.76
1788866893,103.02,103.02
1788870963,103.05,103.05
1788874256,102.83,102.83
1788877886,102.87,102.87
1788881489,103.4,103.4
1788885135,103.8,103.8
1788888522,103.71,103.71
1788892379,104.22,104.22
1788895645,103.23,103.23
1788899308,103.36,103.36
1788902770,103.11,103.11
1788906475,103.3,103.3
1788909978,103.36,103.36
1788914347,103.43,103.43
1788917326,103.42,103.42
1788920949,103.56,103.56
1788924552,103.05,103.05
1788928158,103.88,103.88
1788931685,104.51,104.51
1788935719,104.6,104.6
1788939012,104.83,104.83
1788942602,104.84,104.84
1788946232,104.33,104.33
1788949820,103.87,103.87
1788953351,103.68,103.68
1788957349,104.52,104.52
1788960663,104.55,104.55
1788964217,103.85,103.85
1788967810,102.45,102.45
1788971450,103.02,103.02
1788974894,103.72,103.72
1788978755,103.6,103.6
1788982001,103.28,103.28
1788985747,102.19,102.19
1788989253,102.39,102.39
1788992855,101.49,101.49
1788996387,101.45,101.45
1789000504,101.11,101.11
1789003636,101.21,101.21
1789007365,101.04,101.04
1789010976,101.68,101.68
1789014575,102.03,102.03
1789018074,101.86,101.86
1789022100,101.6,101.6
1789025421,101.18,101.18
1789029072,101.25,101.25
1789032590,101.34,101.34
