sunday,asset,tz,price_09,max_offset_min,price_12,pct_12,price_13,pct_13,price_14,pct_14,price_15,pct_15,price_16,pct_16,price_17,pct_17,price_18,pct_18,price_19,pct_19,price_20,pct_20,price_21,pct_21,price_22,pct_22,price_23,pct_23,price_24,pct_24
2025-03-16,BTC,EDT,82724.0000,0,83323.0000,0.7241,83656.0000,1.1266,83948.0000,1.4796,83692.0000,1.1702,83105.0000,0.4606,83209.0000,0.5863,82725.0000,0.0012,82091.0000,-0.7652,82569.0000,-0.1874,83051.0000,0.3953,83227.0000,0.6080,83317.0000,0.7168,83713.0000,1.1955
2025-03-16,SOL,EDT,129.5300,0,128.7700,-0.5867,129.3100,-0.1698,129.9100,0.2934,128.7700,-0.5867,126.9400,-1.9995,127.1300,-1.8529,126.5100,-2.3315,125.7600,-2.9105,126.1300,-2.6249,127.7400,-1.3819,128.2700,-0.9727,127.7800,-1.3510,128.9600,-0.4401
2025-03-23,BTC,EDT,84705.0000,0,85176.0000,0.5560,85251.0000,0.6446,85011.0000,0.3613,84965.0000,0.3069,84996.0000,0.3435,85075.0000,0.4368,85187.0000,0.5690,85355.0000,0.7674,86084.0000,1.6280,86015.0000,1.5465,85576.0000,1.0283,85884.0000,1.3919,86550.0000,2.1781
2025-03-23,SOL,EDT,133.2600,0,132.5200,-0.5553,131.9700,-0.9680,131.2700,-1.4933,130.7900,-1.8535,130.5400,-2.0411,130.6400,-1.9661,131.1100,-1.6134,131.4100,-1.3883,132.8500,-0.3077,134.7200,1.0956,132.9900,-0.2026,134.9500,1.2682,138.1600,3.6770
2025-03-30,BTC,EDT,83043.0000,0,82709.0000,-0.4022,82277.0000,-0.9224,82389.0000,-0.7875,82688.0000,-0.4275,82538.0000,-0.6081,82601.0000,-0.5323,82221.0000,-0.9898,82404.0000,-0.7695,82367.0000,-0.8140,81618.0000,-1.7160,81955.0000,-1.3102,81913.0000,-1.3607,81508.0000,-1.8484
2025-03-30,SOL,EDT,125.0700,0,124.9200,-0.1199,123.7000,-1.0954,124.5200,-0.4398,126.2300,0.9275,125.8400,0.6157,125.3600,0.2319,124.7600,-0.2479,125.0800,0.0080,124.8300,-0.1919,123.8200,-0.9994,126.2200,0.9195,126.5800,1.2073,124.5700,-0.3998
2025-04-06,BTC,EDT,82690.0000,0,82532.0000,-0.1911,81950.0000,-0.8949,80788.0000,-2.3002,79005.0000,-4.4564,79596.0000,-3.7417,78809.0000,-4.6934,78901.0000,-4.5822,77994.0000,-5.6790,78381.0000,-5.2110,78299.0000,-5.3102,79086.0000,-4.3584,78390.0000,-5.2001,77665.0000,-6.0769
2025-04-06,SOL,EDT,116.4500,0,114.9600,-1.2795,114.0300,-2.0781,111.4300,-4.3109,107.6900,-7.5225,108.0800,-7.1876,106.5400,-8.5101,106.9400,-8.1666,105.9800,-8.9910,105.9000,-9.0597,104.8000,-10.0043,107.4500,-7.7286,105.9300,-9.0339,103.2700,-11.3182
2025-04-13,BTC,EDT,84451.0000,0,83830.0000,-0.7353,84201.0000,-0.2960,84748.0000,0.3517,84711.0000,0.3079,83973.0000,-0.5660,83480.0000,-1.1498,83577.0000,-1.0349,83314.0000,-1.3463,83774.0000,-0.8016,84310.0000,-0.1670,84224.0000,-0.2688,85111.0000,0.7815,84578.0000,0.1504
2025-04-13,SOL,EDT,129.7900,0,128.7100,-0.8321,129.6100,-0.1387,131.6200,1.4100,131.4100,1.2482,128.2200,-1.2096,126.7200,-2.3654,127.4000,-1.8414,127.1600,-2.0264,128.3800,-1.0864,130.3300,0.4161,130.6300,0.6472,133.4200,2.7968,131.7400,1.5024
2025-04-20,BTC,EDT,84369.0000,0,84360.0000,-0.0107,84610.0000,0.2856,84583.0000,0.2536,84587.0000,0.2584,84647.0000,0.3295,85179.0000,0.9601,85006.0000,0.7550,84884.0000,0.6104,85197.0000,0.9814,86633.0000,2.6835,87323.0000,3.5013,87393.0000,3.5843,87191.0000,3.3448
